Year of YearDate	Local Health District	Locality	Bachelor's degree or higher (B23006)	Cost Burdened Households	Home Ownership Rate	Housing units with a mortgage- 30.0% + (DP04)	Housing units without a mortgage - 30.0% + (DP04)	LEP Pop2	LEP Population (S1601)	Less than high school graduate (B23006)	Occupied housing units (DP04)	Occupied rentals - 30.0% + (DP04)	Owner-occupied housing units (DP04)	PopEst Total Population	Population 18-64 (DP05)	Population 65+ (DP05)	Population Under 18 (DP05)	Total Population 25-64 (B23006)	Total Population 5+ (S1601)	Working Age	Working Age Population w/ a Bachelor Degree	Working Age Population w/o a HS Diploma	Voter Turnout	Voter Turnout2	WCRegion	WCRegion_ID	# Unemployed (LMI)	0-17 Poverty Count (SAIPE)	0-17 Poverty Universe (SAIPE)	ACS Year	AHEC_ID	Arrests per 1,000 Residents	Arrests per 1,000 Residents - % of Va. Total	Average earnings per job (dollars) (BEA)	BEA Combined with:	BEA_fips	BEAFIPS	Below poverty level; 18 to 64 years (S1701)	Below poverty level; 65+ (S1701)	Below poverty level; Population for whom poverty status is determined (S1701)	Below poverty level; Under 18 years (S1701)	CBSA Code	Children in Poverty	Civilian noninstitutionalized population (S2701)	COVF_ID	CSB_ID	Education Enrollment (Dept of Ed)	Education Expenditures (Dept of Ed)	Education Spending per Student	Education Spending per Student - % of Va. Total	ERSTypology_ID	FIPS	Fips (2017 Sdoh)	Geography Year Sum	HSARegion_ID	Income maintenance benefits (BEA)	Information	Instructions	Insured: 18-64 (SAHIE)	Insured: Under 65 (SAHIE)	Labor Force (LMI)	LHD Year Sum	LHD_ID	Locality (2017 SDOH)	Locality Year Sum 5yr%	Locality Year Sum Ann%	Locality Year Sum Ann$	Mean income (dollars) per person (S1902)	Measure Selector - 5yr%	Measure Selector - Ann%	Measure Selector - Ann$	Per Capita Income	Per Capita Income - % of Va. Total	Per Capita Income Maintenance Benefits	Per capita income maintenance benefits (BEA)	Per capita personal income (BEA)	Per Job Income	Personal income (thousands of dollars) (BEA)	PlanningDistrict_ID	PlanningDistrict_Label	Population (BEA)	Population 18-64 (S1701)	Population 18-64 (SAHIE)	Population 65 + (S1701)	Population below 200% FPL	Population for whom poverty status is determined (S1701)	Population in Poverty	Population Under 65 (SAHIE)	Poverty Count (SAIPE)	Poverty Universe (SAIPE)	RUCC_2013_Label	SAHIE Population under 18	SAHIE Uninsured Children	State	Total Employment; Number of Jobs (BEA)	Total Group A Offenses (Crime Report)	Total Housing Units (DP05)	Total Population (DP05)	Total population (S1902)	Total Population Estimate (CB)	Total Population; Under 18 years (S1701)	Total Voting Age Citizens (Voting)	Total; All Individuals below: - 200 %+ FPL (S1701)	Unemployment Rate	Uninsured Children	Uninsured population (S2701)	Uninsured Population2	Uninsured: 18-64 (SAHIE)	Uninsured: Under 65 (SAHIE)	Virginia Year Sum	Virginia Year Sum (Values)	Virginia Year Sum Ann%	WIA_ID	WIA_Label	Year	YearDate
2010	Central Shenandoah	Buena Vista City	574	31%	65%	230	190	0%	18.93	608	2693	402	1745	6653	4086	1128	1439	3140	6310	61%	18%	19%	1236	24%	Valley	Valley	323	311	1375	2006	1	3	0		Rockbridge County & Lexington	51945	51945					31370	23%		7	36	1123.67	9786084.08	$8,709	$1	0	51530	51530	4286691.8%	1		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3025	4320	3248	30.1%	4	Buena Vista City	30.5%	23%		19030	31%	23%									6	Central Shenandoah Valley R.C.			3854				15%	5239	961	6209	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	1386	91	Virginia		22	2906	6653	6653	6647		5215		10%	7%		18%	828	919	33.8%	$55,577.47	15%	4	Area IV	2010	1/1/2010 12:00:00 AM
2010	Lord Fairfax	Page	1570	27%	76%	1347	336	1%	250.932	2786	9629	938	7282	24116	14656	4125	5335	12843	22812	61%	12%	22%	4536	24%	Valley	Valley	1436	1159	5096	2006	1	7	0	33359	NA	51139	51139					31370	23%		7	26	3518.92	35710916.5	$10,148	$1	5	51139	51139	4286691.8%	1	18606	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	11355	16080	12336	32.3%	16	Page	27.2%	23%	$33,359	22969	27%	23%	$33,359	$30,661	74%	$774	774	30661	$33,359	737488	7	Northern Shenandoah Valley R.C.	24053		14606				16%	19732	3725	23777	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	5124	399	Virginia	8747	166	11500	24116	24116	24053		18605		12%	8%		19%	3252	3651	33.8%	$55,577.47	15%	4	Area IV	2010	1/1/2010 12:00:00 AM
2010	Lord Fairfax	Shenandoah	3829	31%	70%	2653	520	3%	1330.488	2956	17316	2157	12039	41468	24733	7507	9228	21727	39132	60%	18%	14%	9113	29%	Valley	Valley	1714	1556	9059	2006	1	17	1	33003	NA	51171	51171					31370	17%		7	26	6063.97	63031126.28	$10,394	$1	3	51171	51171	4286691.8%	1	25116	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	19468	27809	20831	32.3%	16	Shenandoah	30.8%	17%	$33,003	24502	31%	17%	$33,003	$33,228	73%	$597	597	33228	$33,003	1397518	7	Northern Shenandoah Valley R.C.	42058		24967				12%	34067	4862	41561	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	9100	759	Virginia	19769	719	20416	41468	41468	42058		31065		8%	8%		18%	5499	6258	33.8%	$55,577.47	15%	4	Area IV	2010	1/1/2010 12:00:00 AM
2011	Rappahannock Rapidan	Culpeper	5738	39%	73%	3659	385	4%	1855.837	3730	15750	2163	11476	46427	29184	5382	11861	25552	43159	63%	22%	15%	9810	31%	Central	Central	1489	1926	11747	2007	1	23	1	39971	NA	51047	51047					47900	16%		1	33	7507.82	66061337.48	$8,799	$1	0	51047	51047	4322069.4%	1	30409	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	22209	33056	23397	34.2%	27	Culpeper County	39.4%	16%	$39,971	27075	39%	16%	$39,971	$38,496	84%	$642	642	38496	$39,971	1822215	9	Rappahannock-Rapidan	47335		27996				12%	39843	5335	45611	Metro - Counties in metro areas of 1 million population or more	11847	1000	Virginia	21889	1108	17646	46427	46427	47335		32140		6%	8%		17%	5787	6787	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Rappahannock Rapidan	Rappahannock	1539	29%	75%	495	163	1%	49.371	540	3310	307	2486	7422	4513	1404	1505	4042	7053	61%	38%	13%	2598	45%	Central	Central	225	231	1426	2007	1	14	1	35429	NA	51157	51157					47900	16%		1	33	923.78	11038543.06	$11,949	$1	5	51157	51157	4322069.4%	1	3165	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3705	4999	4003	34.2%	27	Rappahannock County	29.2%	16%	$35,429	39735	29%	16%	$35,429	$51,678	75%	$422	422	51678	$35,429	387535	9	Rappahannock-Rapidan	7499		4517				10%	5946	742	7400	Metro - Counties in metro areas of 1 million population or more	1429	135	Virginia	3292	104	3836	7422	7422	7499		5835		6%	9%		16%	812	947	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Central Virginia	Lynchburg City	10414	37%	55%	3651	547	3%	1758.025	4078	28513	6230	15796	74849	49643	10411	14795	32816	70321	66%	32%	12%	13419	23%	Central	Central	2884	3687	14609	2007	7	34	2		Campbell County	51911	51911					31340	25%		8	5	8236.4	88616187.18	$10,759	$1	0	51680	51680	3786691.4%	3		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	33472	47412	35762	28.6%	5	Lynchburg City	36.6%	25%		22107	37%	25%									11	Region 2000 (Lynchburg Area)			42207				22%	56880	14671	66336	Metro - Counties in metro areas of 250,000 to 1 million population	14674	734	Virginia		2626	31706	74849	74849	76612		57785		8%	5%		17%	8734	9468	33.9%	$56,544.45	16%	7	Area VII	2011	1/1/2011 12:00:00 AM
2011	Central Virginia	Campbell	5121	25%	76%	2764	509	1%	412.512	3486	21610	2136	16322	54485	34015	8502	11968	28778	51564	62%	18%	12%	12880	31%	Central	Central	1978	2674	11612	2007	7	9	1	44968	Lynchburg	51911	51911					31340	23%		8	5	8192.74	72852237.72	$8,892	$1	0	51031	51031	3786691.4%	3	115344	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	27816	38689	27607	28.6%	5	Campbell County	25.0%	23%	$44,968	22588	25%	23%	$44,968	$33,187	95%	$877	877	33187	$44,968	4365577	11	Region 2000 (Lynchburg Area)	131544		34485				15%	46112	8303	54493	Metro - Counties in metro areas of 250,000 to 1 million population	11625	752	Virginia	84497	507	24619	54485	54485	54932		42085		7%	6%		16%	6670	7422	33.9%	$56,544.45	16%	7	Area VII	2011	1/1/2011 12:00:00 AM
2011	Central Virginia	Amherst	3075	25%	76%	1671	406	1%	336.523	2404	12693	1066	9634	32339	20008	5488	6843	16742	30593	62%	18%	14%	7391	29%	Central	Central	1178	1333	6601	2007	7	9	1	36019	NA	51009	51009					31340	20%		8	5	4373.25	43140144.78	$9,865	$1	4	51009	51009	3786691.4%	3	23754	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	15329	21520	16181	28.6%	5	Amherst County	24.8%	20%	$36,019	22128	25%	20%	$36,019	$30,818	76%	$739	739	30818	$36,019	990085	11	Region 2000 (Lynchburg Area)	32127		19173				13%	25809	4136	30938	Metro - Counties in metro areas of 250,000 to 1 million population	6636	445	Virginia	12525	297	13935	32339	32339	32127		25215		7%	7%		17%	3844	4289	33.9%	$56,544.45	16%	7	Area VII	2011	1/1/2011 12:00:00 AM
2011	Central Virginia	Appomattox	1089	23%	75%	684	166	0%	28.184	1253	5857	498	4417	14820	8930	2568	3322	7898	14092	60%	14%	16%	4928	43%	Central	Central	578	725	3251	2007	7	7	0	28790	NA	51011	51011					31340	22%		8	5	2230.52	19690382.72	$8,828	$1	0	51011	51011	3786691.4%	3	13822	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	7324	10326	7262	28.6%	5	Appomattox County	23.0%	22%	$28,790	22721	23%	22%	$28,790	$31,770	61%	$920	920	31770	$28,790	477091	11	Region 2000 (Lynchburg Area)	15017		9140				15%	12408	2209	14938	Metro - Counties in metro areas of 250,000 to 1 million population	3268	266	Virginia	5192	104	6841	14820	14820	15017		11435		8%	8%		17%	1816	2082	33.9%	$56,544.45	16%	7	Area VII	2011	1/1/2011 12:00:00 AM
2011	Central Virginia	Bedford	9914	25%	84%	4278	808	1%	778.428	4032	26979	1680	22704	68275	42170	10747	15358	37668	64869	62%	26%	11%	17095	33%	Central	Central	2510	2039	14852	2007	7	9	1	33216	NA	51909	51909					31340	14%		8	5	10334.48	86822653.89	$8,401	$1	0	51019	51019	3786691.4%	3	39644	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	35210	49047	38817	28.6%	5	Bedford County	25.1%	14%	$33,216	27845	25%	14%	$33,216	$37,516	70%	$525	525	37516	$33,216	2834460	11	Region 2000 (Lynchburg Area)	75553		42571				9%	57406	6345	68878	Metro - Counties in metro areas of 250,000 to 1 million population	14836	999	Virginia	29545	676	31736	68275	68275	75553		52345		6%	7%		15%	7360	8359	33.9%	$56,544.45	16%	7	Area VII	2011	1/1/2011 12:00:00 AM
2011	Central Virginia	Bedford City	715	36%	63%	413	116	1%	53.739	344	2776	480	1735	6184	3657	1168	1359	3167	5971	59%	23%	11%	1297	28%	Central	Central	211	352	1199	2007	7				Bedford County	51909	51909					31370	29%		8	5					0	51515	51515	3786691.4%	3		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	2879	4030	2476	28.6%	5	Bedford City	36.3%	29%		21533	36%	29%									11	Region 2000 (Lynchburg Area)			3556				20%	4772	1172	5963	Metro - Counties in metro areas of 250,000 to 1 million population	1215	64	Virginia		306	3013	6184	6184			4695		9%	5%		16%	677	741	33.9%	$56,544.45	16%	7	Area VII	2011	1/1/2011 12:00:00 AM
2011	Thomas Jefferson	Charlottesville City	10170	43%	41%	1732	397	6%	2430.84	2393	17387	5277	7179	42758	32323	4067	6368	19915	40514	76%	51%	12%	7067	21%	Central	Central	1300	1387	6261	2007	1	26	1		Albemarle County	51901	51901					16820	22%		1	34	3760.51	61092622.19	$16,246	$2	4	51540	51540	4322069.4%	1		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	25112	30935	23247	32.8%	31	Charlottesville City	42.6%	22%		25464	43%	22%									10	Thomas Jefferson			31479				23%	37724	9508	41421	Metro - Counties in metro areas of fewer than 250,000 population	6245	422	Virginia		1142	19088	42758	42758	43723		33110		6%	7%		18%	6367	6789	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Thomas Jefferson	Albemarle	27590	32%	66%	5413	1094	5%	4158.585	4090	37398	5537	24731	97978	62973	13651	21354	50689	92413	64%	54%	8%	25579	36%	Central	Central	2909	2249	21268	2007	1	12	1	52963	Charlottesville	51901	51901					16820	11%		1	34	12918.61	153816793.57	$11,907	$1	4	51003	51003	4322069.4%	1	72674	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	49002	68634	52161	32.8%	31	Albemarle County	32.2%	11%	$52,963	37256	32%	11%	$52,963	$52,302	111%	$503	503	52302	$52,963	7549474	10	Thomas Jefferson	144344		58157				10%	79223	9139	93804	Metro - Counties in metro areas of fewer than 250,000 population	21066	1434	Virginia	114511	1252	41824	97978	97978	100621		71950		6%	7%		13%	9154	10588	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Thomas Jefferson	Fluvanna	4021	28%	87%	1947	223	2%	361.065	1925	9315	413	8109	25599	15795	3948	5856	14283	24071	62%	28%	13%	6317	33%	Central	Central	772	589	5790	2007	1	5	0	33392	NA	51065	51065					16820	10%		1	34	3698.89	34210233.99	$9,249	$1	0	51065	51065	4322069.4%	1	10689	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	12344	17760	13266	32.8%	31	Fluvanna County	27.7%	10%	$33,392	28864	28%	10%	$33,392	$35,683	70%	$412	412	35683	$33,392	926497	10	Thomas Jefferson	25965		14769				8%	20556	1876	24727	Metro - Counties in metro areas of fewer than 250,000 population	5787	371	Virginia	7508	122	10312	25599	25599	25965		19435		6%	6%		14%	2425	2796	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Thomas Jefferson	Greene	2256	30%	80%	1341	143	4%	647.558	1671	6802	579	5439	18291	11353	2369	4569	9992	17041	62%	23%	17%	5012	38%	Central	Central	591	639	4581	2007	1	13	1	34974	NA	51079	51079					16820	14%		1	34	2823.75	27281019.56	$9,661	$1	0	51079	51079	4322069.4%	1	10626	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	9055	13251	9792	32.8%	31	Greene County	30.3%	14%	$34,974	26711	30%	14%	$34,974	$34,728	74%	$567	567	34728	$34,974	650354	10	Thomas Jefferson	18727		11560				9%	16144	1693	18485	Metro - Counties in metro areas of fewer than 250,000 population	4583	387	Virginia	5821	236	7439	18291	18291	18727		13240		6%	8%		18%	2506	2893	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Thomas Jefferson	Nelson	2298	28%	75%	985	225	1%	187.07	1372	6539	613	4907	15049	9270	2833	2946	8336	14390	62%	28%	16%	5627	47%	Central	Central	481	599	2846	2007	1	6	0	29732	NA	51125	51125					16820	21%		1	34	1907.08	22277962.71	$11,682	$1	5	51125	51125	4322069.4%	1	11256	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	7263	9853	7604	32.8%	31	Nelson County	27.9%	21%	$29,732	26060	28%	21%	$29,732	$38,979	63%	$748	748	38979	$29,732	586200	10	Thomas Jefferson	15039		9200				14%	12054	2036	15002	Metro - Counties in metro areas of fewer than 250,000 population	2855	265	Virginia	6388	95	9859	15049	15049	15039		11930		6%	9%		18%	1936	2201	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Rappahannock Rapidan	Madison	1711	25%	79%	713	232	1%	124.77	1035	5185	349	4110	13317	8002	2314	3001	7121	12477	60%	24%	15%	3834	38%	Central	Central	379	497	2803	2007	1	7	0	29230	NA	51113	51113					31370	18%		1	33	1786.82	17203391.09	$9,628	$1	0	51113	51113	4322069.4%	1	7600	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	6223	8749	7223	34.2%	27	Madison County	25.0%	18%	$29,230	27359	25%	18%	$29,230	$35,261	61%	$577	577	35261	$29,230	464568	9	Rappahannock-Rapidan	13175		7933				12%	10744	1549	13024	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	2811	285	Virginia	5291	97	5915	13317	13317	13175		10100		5%	10%		19%	1710	1995	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Thomas Jefferson	Louisa	3538	29%	78%	2221	475	2%	492.016	2875	13213	1164	10299	32739	20746	4698	7295	18529	30751	63%	19%	16%	8770	35%	Central	Central	1226	1214	7123	2007	1	7	0	47060	NA	51109	51109					31370	17%		1	34	4576.94	46261436.02	$10,108	$1	5	51109	51109	4322069.4%	1	22048	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	17074	23670	17943	32.8%	31	Louisa County	29.2%	17%	$47,060	28030	29%	17%	$47,060	$37,024	99%	$658	658	37024	$47,060	1241324	10	Thomas Jefferson	33528		21234				11%	28393	3597	33196	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	7160	564	Virginia	12556	249	16075	32739	32739	33528		24955		7%	8%		17%	4159	4723	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Rappahannock Rapidan	Orange	3993	32%	76%	2680	286	2%	626.14	2227	12614	1093	9622	33235	19703	5878	7654	17500	31307	59%	23%	13%	8355	33%	Central	Central	1182	1292	7533	2007	1	8	0	34135	NA	51137	51137					31370	17%		1	33	5027.53	41851801.27	$8,325	$1	0	51137	51137	4322069.4%	1	19120	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	16028	23008	15788	34.2%	27	Orange County	32.2%	17%	$34,135	26820	32%	17%	$34,135	$38,293	72%	$565	565	38293	$34,135	1296643	9	Rappahannock-Rapidan	33861		19782				12%	27319	3950	33296	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	7537	557	Virginia	13165	257	14520	33235	33235	33861		25045		7%	7%		16%	3754	4311	33.9%	$56,544.45	16%	6	Area VI	2011	1/1/2011 12:00:00 AM
2011	Three Rivers	King William	1701	30%	83%	1363	64	1%	103.243	694	5985	385	4981	15728	9941	1895	3892	8705	14749	63%	20%	8%	4261	37%	Eastern	Eastern	599	495	3849	2007	5	10	1	38045	NA	51101	51101					40060	13%		1	22	2945.91	29814281.65	$10,121	$1	3	51101	51101	4412436.1%	5	9359	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	8323	11887	8703	28.7%	32	King William County	30.3%	13%	$38,045	27796	30%	13%	$38,045	$37,775	80%	$585	585	37775	$38,045	604015	18	Middle Peninsula	15990		10089				9%	13937	1387	15874	Metro - Counties in metro areas of 1 million population or more	3848	284	Virginia	5366	155	6448	15728	15728	15990		11650		7%	7%		15%	1766	2050	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Eastern Shore	Accomack	3006	27%	74%	1657	978	5%	1617.771	3271	13757	1132	10199	33701	20150	6283	7268	17645	31721	60%	17%	19%	8875	35%	Eastern	Eastern	1393	2111	6928	2007	2	11	1	36620	NA	51001	51001					31370	30%		2	13	4792.94	48912903.02	$10,205	$1	3	51001	51001	5112928.5%	5	37001	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	15176	21417	16591	29.1%	11	Accomack County	27.4%	30%	$36,620	23556	27%	30%	$36,620	$33,938	77%	$1,111	1111	33938	$36,620	1129877	22	Accomack-Northampton	33292		19949				19%	26902	6359	32945	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	6953	712	Virginia	17584	381	20965	33701	33701	33292		25025		8%	10%		20%	4773	5485	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Eastern Shore	Northampton	1442	34%	69%	638	534	4%	447.982	974	5195	584	3607	12493	7223	2742	2528	6359	11789	58%	23%	15%	3189	33%	Eastern	Eastern	565	843	2404	2007	2	15	1	34604	NA	51131	51131					31370	35%		2	13	1667.6	19203157.37	$11,515	$1	0	51131	51131	5112928.5%	5	16434	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	5352	7496	6364	29.1%	11	Northampton County	33.8%	35%	$34,604	22824	34%	35%	$34,604	$33,920	73%	$1,323	1323	33920	$34,604	421255	22	Accomack-Northampton	12419		7150				23%	9543	2744	12089	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	2395	251	Virginia	6698	192	7298	12493	12493	12419		9585		9%	10%		21%	1797	2048	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Three Rivers	King and Queen	368	25%	80%	537	62	3%	163.7	513	2891	134	2325	6946	4324	1187	1435	3760	6548	62%	10%	14%	1821	34%	Eastern	Eastern	270	278	1367	2007	5	8	0	39894	NA	51097	51097					31370	20%		1	22	729.76	10156548.55	$13,918	$1	0	51097	51097	4412436.1%	5	5430	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3439	4678	3664	28.7%	32	King and Queen County	25.4%	20%	$39,894	25012	25%	20%	$39,894	$33,979	84%	$772	772	33979	$39,894	238943	18	Middle Peninsula	7032		4378				13%	5748	919	6982	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	1369	130	Virginia	1833	53	3384	6946	6946	7032		5405		7%	9%		19%	939	1069	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Three Rivers	Middlesex	1486	26%	82%	683	136	1%	105.12	662	4339	324	3539	10855	6271	2790	1794	5610	10512	58%	26%	12%	3800	42%	Eastern	Eastern	333	397	1661	2007	5	5	0	34246	NA	51119	51119					31370	24%		2	22	1193.34	12239355.1	$10,256	$1	5	51119	51119	4412436.1%	5	7656	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	4868	6383	5138	28.7%	32	Middlesex County	26.3%	24%	$34,246	30654	26%	24%	$34,246	$40,995	72%	$707	707	40995	$34,246	443973	18	Middle Peninsula	10830		6075				13%	7746	1343	10477	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	1670	155	Virginia	5272	50	7103	10855	10855	10830		8995		6%	9%		18%	1207	1362	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Three Rivers	Lancaster	1237	29%	77%	1040	163	1%	54.815	743	5570	438	4298	11424	6062	3524	1838	5507	10963	53%	22%	13%	4446	47%	Eastern	Eastern	518	483	1760	2007	5	7	0	33778	NA	51103	51103					31370	27%		2	22	1263.05	14863957.5	$11,768	$1	5	51103	51103	4412436.1%	5	9270	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	4768	6376	5590	28.7%	32	Lancaster County	29.5%	27%	$33,778	29845	29%	27%	$33,778	$45,677	71%	$817	817	45677	$33,778	518018	17	Northern Neck	11341		5953				16%	7713	1741	11097	Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area	1760	152	Virginia	7034	79	7353	11424	11424	11341		9470		9%	9%		17%	1185	1337	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Three Rivers	Northumberland	1317	31%	83%	1107	250	0%	35.7	812	5569	385	4626	12431	6700	3651	2080	6030	11900	54%	22%	13%	4266	42%	Eastern	Eastern	542	559	1977	2007	5	16	1	31062	NA	51133	51133					31370	28%		2	22	1400.02	13827275.99	$9,876	$1	5	51133	51133	4412436.1%	5	9491	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	5229	7017	6031	28.7%	32	Northumberland County	31.3%	28%	$31,062	28538	31%	28%	$31,062	$38,435	65%	$764	764	38435	$31,062	477358	17	Northern Neck	12420		6645				14%	8627	1719	12432	Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area	1982	194	Virginia	4410	201	8973	12431	12431	12420		10230		9%	10%		19%	1416	1610	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Three Rivers	Richmond	508	23%	79%	363	141	3%	284.192	1145	2909	170	2297	9310	5980	1700	1630	5246	8881	64%	10%	22%	2356	32%	Eastern	Eastern	285	394	1519	2007	5	7	0	37586	NA	51159	51159					31370	26%		2	22	1202.81	12243660.02	$10,179	$1	4	51159	51159	4412436.1%	5	7285	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3413	4797	4267	28.7%	32	Richmond County	23.2%	26%	$37,586	20812	23%	26%	$37,586	$27,777	79%	$793	793	27777	$37,586	255108	17	Northern Neck	9184		4356				20%	5887	1510	7409	Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area	1532	148	Virginia	3802	67	3828	9310	9310	9184		7370		7%	10%		19%	943	1091	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Three Rivers	Essex	939	31%	76%	768	185	1%	135.447	903	4420	413	3379	11029	6753	1910	2366	5639	10419	61%	17%	16%	2335	27%	Eastern	Eastern	473	581	2355	2007	5	21	1	33690	NA	51057	51057					31370	25%		2	22	1585.39	15999948.71	$10,092	$1	5	51057	51057	4412436.1%	5	11702	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	5473	7711	5699	28.7%	32	Essex County	30.9%	25%	$33,690	22495	31%	25%	$33,690	$35,073	71%	$1,045	1045	35073	$33,690	392709	18	Middle Peninsula	11197		6861				15%	9264	1646	11058	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	2403	165	Virginia	5405	231	5717	11029	11029	11197		8525		8%	7%		17%	1388	1553	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
2011	Three Rivers	Westmoreland	1364	28%	75%	1062	305	3%	512.213	1794	7077	636	5309	17386	10285	3585	3516	9013	16523	59%	15%	20%	4127	31%	Eastern	Eastern	707	979	3434	2007	5	8	0	27998	NA	51193	51193					31370	29%		2	22	2198.22	23971115.66	$10,905	$1	5	51193	51193	4412436.1%	5	16057	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	8040	11191	9402	28.7%	32	Westmoreland County	28.3%	29%	$27,998	26936	28%	29%	$27,998	$35,084	59%	$911	911	35084	$27,998	618632	17	Northern Neck	17633		10488				17%	13933	3020	17491	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	3445	294	Virginia	5989	137	10553	17386	17386	17633		13425		8%	9%		20%	2448	2742	33.9%	$56,544.45	16%	13	Area XIII	2011	1/1/2011 12:00:00 AM
